Time,X,Y,Z
1.68680,-1.47163,-1.19761,-0.00388
1.69414,-1.48356,-1.31249,-0.01543
1.70147,-1.57008,-1.32188,0.03455
1.70879,-1.53057,-1.35614,0.00153
1.71905,-1.48913,-1.35113,0.01337
1.72922,-1.44364,-1.39873,-0.07169
1.73599,-1.44364,-1.53212,0.01972
1.74276,-1.36349,-1.54387,-0.06675
1.74986,-1.43788,-1.52446,-0.03860
1.75732,-1.42421,-1.58338,0.00300
1.76515,-1.36761,-1.65545,-0.01662
1.77297,-1.36946,-1.68092,0.01613
1.78078,-1.38453,-1.61347,0.03960
1.79102,-1.34205,-1.79402,0.07088
1.80044,-1.30701,-1.79235,0.10955
1.80698,-1.26511,-1.77146,0.02982
1.81352,-1.32731,-1.78975,-0.06335
1.82290,-1.30916,-1.80113,-0.06447
1.83243,-1.32693,-1.74539,-0.12985
1.83892,-1.33381,-1.75036,-0.10047
1.84542,-1.34667,-1.82088,-0.09856
1.85223,-1.35964,-1.82670,-0.05060
1.86252,-1.27846,-1.97352,-0.00350
1.87297,-1.27868,-2.00123,0.01218
1.88010,-1.24143,-2.05543,0.00823
1.88688,-1.21591,-2.07258,-0.01309
1.89331,-1.21439,-2.08359,-0.02829
1.90319,-1.17807,-2.01734,-0.00481
1.91357,-1.20419,-2.02452,-0.00396
1.92101,-1.16667,-2.03491,0.01579
1.92882,-1.19245,-2.15246,0.00268
1.93662,-1.17982,-2.13549,0.00255
1.94441,-1.13507,-2.15512,0.05993
1.95259,-1.12160,-2.14379,0.02290
1.96118,-1.11409,-2.08580,0.09523
1.96976,-1.08744,-2.10179,0.02408
1.97792,-1.10627,-2.19592,0.00728
1.98606,-1.10974,-2.17810,0.00696
1.99419,-1.07814,-2.11537,0.00545
2.00191,-1.00505,-2.12145,0.00083
2.00925,-0.98713,-2.15247,-0.05413
2.01657,-0.97642,-2.15426,0.04829
2.02389,-0.85011,-2.19209,-0.03650
2.03120,-1.00815,-2.09403,-0.00981
2.03888,-1.01361,-2.27810,-0.00390
2.04655,-1.02196,-2.22351,-0.06386
2.05420,-1.01989,-2.12008,0.00116
2.06224,-0.97766,-2.15591,0.03477
2.07068,-0.97849,-2.19253,-0.02230
2.07926,-0.90615,-2.18588,-0.01779
2.08756,-0.83311,-2.14015,-0.02262
2.09585,-0.92511,-2.25651,-0.00990
2.10456,-0.90165,-2.17267,0.08469
2.11325,-0.88456,-2.17714,0.07277
2.12151,-0.84617,-2.15777,-0.00502
2.12936,-0.84959,-2.09409,0.02484
2.13720,-0.88602,-2.11882,-0.03637
2.14543,-0.82975,-2.17631,-0.06411
2.15365,-0.85452,-2.11210,0.02720
2.16145,-0.81283,-2.14415,0.00967
2.16925,-0.77779,-2.18299,-0.00346
2.17744,-0.74651,-2.09314,-0.03571
2.18604,-0.78335,-2.13280,0.00101
2.19506,-0.75387,-2.22803,-0.07862
2.20454,-0.74570,-2.06558,0.02618
2.21449,-0.73497,-2.03760,0.00953
2.22494,-0.69127,-2.02617,-0.02959
2.23591,-0.71866,-1.97205,0.02655
2.24644,-0.68383,-1.96855,0.01063
2.25617,-0.68216,-1.96269,0.03286
2.26559,-0.62429,-1.90763,-0.01456
2.27500,-0.64609,-1.96893,-0.01665
2.28441,-0.61721,-1.91765,-0.03114
2.29296,-0.63214,-1.90063,0.01646
2.30068,-0.61463,-1.89176,0.04236
2.30838,-0.57270,-1.78152,-0.02563
2.31648,-0.52165,-1.83109,-0.07352
2.32492,-0.60957,-1.77648,-0.03355
2.33373,-0.59825,-1.80477,0.01973
2.34298,-0.54929,-1.76324,0.03390
2.35221,-0.57833,-1.79684,0.00236
2.36144,-0.43625,-1.77828,-0.09188
2.37112,-0.53048,-1.73409,-0.08212
2.38068,-0.52374,-1.71775,-0.04037
2.38964,-0.51843,-1.71958,-0.06120
2.39858,-0.51235,-1.71948,-0.05265
2.40743,-0.41617,-1.69905,-0.09003
2.41576,-0.44261,-1.63671,-0.05331
2.42357,-0.43827,-1.55817,-0.00066
2.43126,-0.46318,-1.60517,0.04967
2.43933,-0.45894,-1.50127,0.11675
2.44781,-0.38977,-1.39659,0.12440
2.45665,-0.34450,-1.38231,0.06390
2.46554,-0.39973,-1.38756,0.00000
2.47401,-0.41833,-1.37086,-0.03202
2.48214,-0.41111,-1.37347,-0.04817
2.49022,-0.39057,-1.37668,-0.03803
2.49853,-0.38696,-1.36812,-0.04583
2.50702,-0.31371,-1.31474,-0.08000
2.51529,-0.32178,-1.23692,0.00206
2.52354,-0.35131,-1.26255,-0.05014
2.53178,-0.34342,-1.25718,-0.06966
2.53961,-0.28165,-1.20481,-0.05482
